,AnimalID,Species,StudyArea,Sex,bird,carnivore,deerunkspp,dumpsite,elk,lagomorph,livestock,med_mammal,moose,muledeer,other,small_mammal,whitetaileddeer
1,48F,Wolf,Northeast,Female,1,,2,2,1,,,,2,,,,2
2,52F,Wolf,Northeast,Female,,,4,2,,1,,,1,,,,3
3,61M,Wolf,Okanogan,Male,,,1,1,,,,1,,10,,,
4,74M,Wolf,Northeast,Male,,,1,,,,,,,,,,1
5,82F,Wolf,Northeast,Female,,,3,1,,,,,12,,,,
6,85M,Wolf,Northeast,Male,,,2,,1,,,,,,,,
7,87M,Wolf,Northeast,Male,2,,2,,,,,,,,,,1
8,91F,Wolf,Northeast,Female,1,,1,3,,,,1,,,,,1
9,93M,Wolf,Okanogan,Male,1,2,2,,,,,,,,,,
10,94M,Wolf,Okanogan,Male,,,1,,,,,,,4,,,
11,MVC202F,Cougar,Okanogan,Female,2,,4,,,1,,1,,14,,,7
12,MVC204F,Cougar,Okanogan,Female,,,,,,,,,,1,,,
13,MVC205F,Cougar,Okanogan,Female,1,,1,,,,,,,17,,,
14,MVC206F,Cougar,Okanogan,Female,,2,1,,,,,,,5,,,1
15,MVC207F,Cougar,Okanogan,Female,,,2,,,,,1,,8,,,
16,MVC209M,Cougar,Okanogan,Male,,,2,,,,,1,,2,,,
17,MVC221M,Cougar,Okanogan,Male,,,2,,,,,,,1,,,
18,MVC222F,Cougar,Okanogan,Female,,,3,,,,,,,,,,1
19,MVC223F,Cougar,Okanogan,Female,,,1,,,,,,,3,,,
20,MVC224M,Cougar,Okanogan,Male,,,,,,,,,1,,,,1
21,MVC225F,Cougar,Okanogan,Female,,,,,,,,,,3,,,
22,MVC226F,Cougar,Okanogan,Female,,,,,,,,,,,1,,2
23,MVC227F,Cougar,Okanogan,Female,,,,,,,,,,3,,,
24,MVC229M,Cougar,Okanogan,Male,,,1,,,,,,,4,,,
25,MVC230F,Cougar,Okanogan,Female,,,3,,,,1,,,2,,,1
26,MVC233F,Cougar,Okanogan,Female,,1,,,,,,,,1,,,2
27,MVC234M,Cougar,Okanogan,Male,2,,2,,,,,1,,1,,,2
28,MVC235M,Cougar,Okanogan,Male,,2,,,,,,,,6,,,
29,MVC236F,Cougar,Okanogan,Female,,,1,,,,,,,4,,,
30,MVC237M,Cougar,Okanogan,Male,,,1,,,,,,,4,,1,
31,NEC101M,Cougar,Northeast,Male,1,,4,,,,,1,,,,1,12
32,NEC103F,Cougar,Northeast,Female,,,8,,,,,,,,,,5
33,NEC104F,Cougar,Northeast,Female,,,8,,,,,,,1,,,3
34,NEC106M,Cougar,Northeast,Male,,,,,,,,,,,,,2
35,NEC107F,Cougar,Northeast,Female,,,4,,,,,,,2,,,9
36,NEC110F,Cougar,Northeast,Female,,,3,,,,,,2,,,,1
37,NEC111F,Cougar,Northeast,Female,,,,,,,,,,1,,,1
38,NEC112F,Cougar,Northeast,Female,,,2,,,,,,1,,,,10
39,NEC113F,Cougar,Northeast,Female,,,,,,,,,1,,,,1
40,NEC115F,Cougar,Northeast,Female,,,1,,,,,,,,,,1
41,NEC116F,Cougar,Northeast,Female,,,1,,1,,,,,,,,
42,NEC117F,Cougar,Northeast,Female,,,,,,,,,,,,,2
43,NEC118M,Cougar,Northeast,Male,,,1,,1,,,,,,,,1
44,NEC122M,Cougar,Northeast,Male,,,,,1,,,,,,,,
