,AnimalID,Species,Study Area,Sex,Pack,beaver,bird,canid,coyote,deerunkspp,dog,dumpsite,elk,grouse,hare,livestock,magpie,marmot,moose,muledeer,porcupine,raccoon,skunk,small mammal,Stellar's jay,turkey,unknown,unknown avian species - quail?,unknown small mammal,whitetaileddeer
1,48F,Wolf,Northeast,Female,DirtyShirt,,,,,2,,2,1,,,,,,2,,,,,,,1,,,,2
2,52F,Wolf,Northeast,Female,Stranger,,,,,4,,2,,,1,,,,1,,,,,,,,,,,3
5,82F,Wolf,Northeast,Female,CarpenterRidge,,,,,3,,1,,,,,,,12,,,,,,,,,,,
8,91F,Wolf,Northeast,Female,Stranger,,,,,1,,3,,,,,,,,,,,1,,,1,,,,1
3,61M,Wolf,Okanogan,Male,LoupLoup,,,,,1,,1,,,,,,1,,10,,,,,,,,,,
4,74M,Wolf,Northeast,Male,CarpenterRidge,,,,,1,,,,,,,,,,,,,,,,,,,,1
6,85M,Wolf,Northeast,Male,Stranger,,,,,2,,,1,,,,,,,,,,,,,,,,,
7,87M,Wolf,Northeast,Male,CarpenterRidge,,,,,2,,,,,,,1,,,,,,,,,1,,,,1
9,93M,Wolf,Okanogan,Male,Lookout,,,1,,2,1,,,1,,,,,,,,,,,,,,,,
10,94M,Wolf,Okanogan,Male,Lookout,,,,,1,,,,,,,,,,4,,,,,,,,,,
