,Row Labels,Species,StudyArea,ClusterOrRoad,bird,carnivore,deerunkspp,elk,lagomorph,livestock,med_mammal,moose,other,small_mammal
1,NB017,Cougar,Northeast,,,,,,,,,,,1
2,NB018,Cougar,Northeast,,,,1,,,,,,,
3,NB100,Cougar,Northeast,,2,2,1,,,,,,,
4,NB302,Cougar,Northeast,,,,1,,,,,,,
5,NC007,Cougar,Northeast,,,,1,,,,,,,
6,NC009,Cougar,Northeast,,,,1,,,,,,,
7,NC011,Cougar,Northeast,,,1,,,1,,,,,1
8,NC013,Cougar,Northeast,,,,1,,,,,,,
9,NC014,Cougar,Northeast,,,,1,,,,,,,
10,NC015,Cougar,Northeast,,,1,,,1,,,1,,
11,NC016,Cougar,Northeast,,,,1,,,,,,,
12,NC021,Cougar,Northeast,,,,1,,,,,,,
13,NC022,Cougar,Northeast,,1,,1,,,,,,,
14,NC023,Cougar,Northeast,,,,,,,,,1,,
15,NC024,Cougar,Northeast,,,,,,,,,1,,
16,NC025,Cougar,Northeast,,,,,1,,,,,,
17,NC027,Cougar,Northeast,,,,,,,,,1,,
18,NC032,Cougar,Northeast,,,,,,1,,,,,
19,NC033,Cougar,Northeast,,,,1,,,,,,,
20,NC034,Cougar,Northeast,,,,1,,,,,,,
21,NC035,Cougar,Northeast,,,,1,,,,,,,
22,NC036,Cougar,Northeast,,,,1,,,,,,,
23,NC037,Cougar,Northeast,,,,1,,,,,,,
24,NC040,Cougar,Northeast,,,,,,,,,1,,
25,NC042,Cougar,Northeast,,,,,,,,,1,,
26,NC043,Cougar,Northeast,,,,,,,,,1,,
27,NC048,Cougar,Northeast,,,,,,,,,1,,
28,NC051,Cougar,Northeast,,,,1,,,,,,,1
29,NC053,Cougar,Northeast,,,,1,,,,,,,
30,NC056,Cougar,Northeast,,,,1,,,,,,,
31,NC058,Cougar,Northeast,,,,1,,,,,,,
32,NC059,Cougar,Northeast,,,,1,,,,,,,
33,NC062,Cougar,Northeast,,,,1,,,,,,,
34,NC065,Cougar,Northeast,,,,,1,,,,,,
35,NC066,Cougar,Northeast,,,,1,,,,,,,
36,NC067,Cougar,Northeast,,,,1,,,,,,,
37,NC068,Cougar,Northeast,,,,,,,,1,,,
38,NC069,Cougar,Northeast,,,,1,,,,,,,
39,NC070,Cougar,Northeast,,,,1,,,,,,,
40,NC074,Cougar,Northeast,,1,,1,,,,,,,
41,NC078,Cougar,Northeast,,,,1,,,,,,,
42,NC102,Cougar,Northeast,,,,1,,,,,,,
43,NC104,Cougar,Northeast,,,,1,,,,,,,
44,NC106,Cougar,Northeast,,,,1,,,,,,,
45,NC107,Cougar,Northeast,,,,1,,,,,,,
46,NC108,Cougar,Northeast,,,,1,,,,,,,
47,NC109,Cougar,Northeast,,,,1,,,,,,,
48,NC110,Cougar,Northeast,,,,1,,,,,,,
49,NC111,Cougar,Northeast,,,,1,,,,,,,
50,NC112,Cougar,Northeast,,,,1,,,,,,,
51,NC113,Cougar,Northeast,,,,1,,,,,,,
52,NC114,Cougar,Northeast,,,,1,,,,,,,
53,NC115,Cougar,Northeast,,,,1,,,,,,,
54,NC116,Cougar,Northeast,,,,1,,,,,,,
55,NC117,Cougar,Northeast,,,,1,,,,,,,
56,NC118,Cougar,Northeast,,,,1,,,,,,,
57,NC119,Cougar,Northeast,,,,1,,,,,,,
58,NC120,Cougar,Northeast,,,,1,,,,,,,
59,NC121,Cougar,Northeast,,,,1,,,,,,,
60,NC122,Cougar,Northeast,,,,1,,,,,,,
61,NC123,Cougar,Northeast,,,,1,,,,,,,
62,NC124,Cougar,Northeast,,,,1,,,,,,,
63,NC125,Cougar,Northeast,,,,1,,,,,,,
64,NC126,Cougar,Northeast,,,,1,,,,,,,
65,NC127,Cougar,Northeast,,,,1,,,,,,,
66,NC128,Cougar,Northeast,,,,1,,,,,,,
67,NC129,Cougar,Northeast,,,,1,,,,,,,
68,NC144,Cougar,Northeast,,,,1,,,,,,,
69,NC145,Cougar,Northeast,,,,1,,,,,,,
70,NC146,Cougar,Northeast,,,,1,,,,,,,
71,NC147,Cougar,Northeast,,,,1,,,,,,,
72,NC148,Cougar,Northeast,,,,1,,,,,,,
73,NC156,Cougar,Northeast,,1,,1,,,,,,,
74,NC157,Cougar,Northeast,,,,1,,,,,,,
75,NC158,Cougar,Northeast,,,,1,,,,,,,
76,NC159,Cougar,Northeast,,,,1,,,,,,,
77,NC163,Cougar,Northeast,,,,1,,,,,,,
78,NC164,Cougar,Northeast,,,,1,,,,,,,
79,NC165,Cougar,Northeast,,,,,,,,,1,,
80,NC166,Cougar,Northeast,,,,,,,,,1,,
81,NC302,Cougar,Northeast,,,1,,,,,,,,
82,NW107,Cougar,Northeast,,,,1,,,,,,,
83,OC001,Cougar,Okanogan,,,,1,,,,,,,
84,OC002,Cougar,Okanogan,,,,,,,,1,,,
85,OC004,Cougar,Okanogan,,,,1,,,,,,,
86,OC005,Cougar,Okanogan,,,,1,,,,,,,
87,OC006,Cougar,Okanogan,,,,1,,,,,,,
88,OC007,Cougar,Okanogan,,,,1,,,,,,,
89,OC008,Cougar,Okanogan,,,,1,,,,,,,
90,OC010,Cougar,Okanogan,,,,1,,,,,,,
91,OC011,Cougar,Okanogan,,,,1,,,,,,,
92,OC012,Cougar,Okanogan,,,,1,,,,,,,
93,OC013,Cougar,Okanogan,,,,1,,,,,,,
94,OC014,Cougar,Okanogan,,,,1,,,,,,,
95,OC017,Cougar,Okanogan,,,,1,,,,,,,
96,OC018,Cougar,Okanogan,,,,1,,,,,,,
97,OC019,Cougar,Okanogan,,,,1,,,,,,,
98,OC020,Cougar,Okanogan,,,,1,,,,,,,
99,OC021,Cougar,Okanogan,,,,1,,,,,,,
100,OC023,Cougar,Okanogan,,,,1,,,,,,,
101,OC024,Cougar,Okanogan,,,,1,,,,,,,
102,OC026,Cougar,Okanogan,,,,1,,,,,,,
103,OC027,Cougar,Okanogan,,,,1,,,,,,,
104,OC028,Cougar,Okanogan,,,,1,,1,,,,,
105,OC031,Cougar,Okanogan,,,,1,,,,,,,
106,OC036,Cougar,Okanogan,,,,1,,,,,,,
107,OC039,Cougar,Okanogan,,,,1,,,,,,,
108,OC040,Cougar,Okanogan,,,,,,,,,1,,
109,OC041,Cougar,Okanogan,,,,,,,,,,,1
110,OC103,Cougar,Okanogan,,,,1,,,,,,,
111,OC104,Cougar,Okanogan,,,,1,,,,,,,
112,OC106,Cougar,Okanogan,,,,1,,,,,,,
113,OC107,Cougar,Okanogan,,,,1,,,,,,,
114,OC108,Cougar,Okanogan,,,,1,,,,,,,
115,OC109,Cougar,Okanogan,,,,1,,,,,,,
116,OC110,Cougar,Okanogan,,,,1,,,,,,,
117,OC111,Cougar,Okanogan,,,,1,,,,,,,
118,OC113,Cougar,Okanogan,,,,1,,,,,,,
119,OC121,Cougar,Okanogan,,,,1,,,,,,,
120,OC124,Cougar,Okanogan,,,,1,,,,,,,
121,OC128,Cougar,Okanogan,,,,1,,,,,,,
122,OC129,Cougar,Okanogan,,,,1,,,,,,,
123,OC130,Cougar,Okanogan,,,,1,,,,,,,
124,OC132,Cougar,Okanogan,,,,1,,,,,,,
125,OC135,Cougar,Okanogan,,,,1,,,,,,,
126,OC136,Cougar,Okanogan,,,,1,,,,,,,
127,OC137,Cougar,Okanogan,,,,1,,,,,,,
128,OC138,Cougar,Okanogan,,,,1,,,,,,,
129,OC139,Cougar,Okanogan,,,,1,,,,,,,
130,OC140,Cougar,Okanogan,,,,1,,,,,,,
131,OC142,Cougar,Okanogan,,,,1,,,,,,,
132,OC143,Cougar,Okanogan,,,,1,,,,,,,
133,OC144,Cougar,Okanogan,,,,1,,,,,,,
134,OC145,Cougar,Okanogan,,,,1,,,,,,,
135,OC146,Cougar,Okanogan,,,,1,,,,1,,,
136,OC147,Cougar,Okanogan,,,,1,,,,,,,
137,OC148,Cougar,Okanogan,,,,1,,,,,,,
138,OC149,Cougar,Okanogan,,,,1,,,,,,,
139,OC150,Cougar,Okanogan,,,,1,,,,,,,
140,OC151,Cougar,Okanogan,,,,1,,,,,,,
141,OC154,Cougar,Okanogan,,,,1,,,,,,,
142,OC155,Cougar,Okanogan,,,,1,,,,,,,
143,OC157,Cougar,Okanogan,,,,1,,,,,,,
144,OC158,Cougar,Okanogan,,,,1,,,,,,,
145,OC159,Cougar,Okanogan,,,,1,,,,,,,
146,OC161,Cougar,Okanogan,,,,1,,,,1,,,
147,OC165,Cougar,Okanogan,,,,1,,,,,,,
148,OC166,Cougar,Okanogan,,,,1,,,,,,,
149,OC167,Cougar,Okanogan,,,,1,,,,,,,
150,OC169,Cougar,Okanogan,,,1,1,,,,,,,
151,OC170,Cougar,Okanogan,,,,1,,,,,,,
152,OC172,Cougar,Okanogan,,,,1,,,,,,,
153,OC173,Cougar,Okanogan,,,,1,,,,,,,
154,OC202,Cougar,Okanogan,,,,1,,,,,,,
155,OC203,Cougar,Okanogan,,,,1,,,,,,,
156,OC204,Cougar,Okanogan,,,,1,,,,,,,
157,OC208,Cougar,Okanogan,,,,1,,,,,,,
158,OC210,Cougar,Okanogan,,,,1,,,,,,,
159,OC212,Cougar,Okanogan,,,,1,,,,,,,
160,OC301,Cougar,Okanogan,,,,,,1,,,,,
161,OC302,Cougar,Okanogan,,,,1,,,,,,,
162,OC303,Cougar,Okanogan,,,,1,,,,,,,
163,OC304,Cougar,Okanogan,,,,1,,,,,,,
164,OW009,Cougar,Okanogan,,,,,,,,,1,,
165,OW106,Cougar,Okanogan,,,,1,,,,,,,
166,NB027,Wolf,Northeast,,,,1,,,1,,,,
167,NB311,Wolf,Northeast,,,,,,,,,1,,
168,NC046,Wolf,Northeast,,,,,,,,,1,,
169,NC047,Wolf,Northeast,,,1,,,1,,,1,,
170,NC075,Wolf,Northeast,,1,,1,,,,,,,
171,NC076,Wolf,Northeast,,1,,1,,,,,,,
172,NC103,Wolf,Northeast,,,,1,,,,,,,
173,NC152,Wolf,Northeast,,,,1,,,,,,,
174,NW004,Wolf,Northeast,,,,,,,,,1,,
175,NW006,Wolf,Northeast,,,,,,,,,1,,
176,NW007,Wolf,Northeast,,,,,,,,,1,,
177,NW016,Wolf,Northeast,,,,,,1,,,,,
178,NW019,Wolf,Northeast,,,,1,,,,,,,
179,NW024,Wolf,Northeast,,,,1,,,,,,,
180,NW025,Wolf,Northeast,,,,,,,,,1,,
181,NW026,Wolf,Northeast,,,,,,,,,1,,
182,NW028,Wolf,Northeast,,,,,,,,,1,,
183,NW030,Wolf,Northeast,,,,,,,,,1,,
184,NW031,Wolf,Northeast,,,,,,,,,1,,
185,NW035,Wolf,Northeast,,,,,,,,1,1,,
186,NW037,Wolf,Northeast,,,,,1,,,,,,
187,NW039,Wolf,Northeast,,2,,,,,,,1,,
188,NW041,Wolf,Northeast,,,,,,1,,,1,,
189,NW042,Wolf,Northeast,,,,1,,,,,,,
190,NW045,Wolf,Northeast,,,,,,,1,,,,
191,NW046,Wolf,Northeast,,,,,,,,,1,,
192,NW047,Wolf,Northeast,,,,,,,,,1,,
193,NW048,Wolf,Northeast,,,,,,1,,,1,,
194,NW049,Wolf,Northeast,,,,,,,,,1,,
195,NW051,Wolf,Northeast,,,,,,,,,1,,
196,NW052,Wolf,Northeast,,1,,,,,,,,,
197,NW053,Wolf,Northeast,,,,,,,,,1,,
198,NW059,Wolf,Northeast,,,,1,,,,,,,
199,NW060,Wolf,Northeast,,,,,,,,,1,,
200,NW061,Wolf,Northeast,,,,,,,,,1,,
201,NW063,Wolf,Northeast,,,,1,,,,,1,,
